Pathway 1,receive SELL,send CD34,send PARs,receive VCAM,send ANNEXIN,send MHC-I,send MHC-II,receive CCL,receive CSF,send PSAP,send MIF,send GALECTIN,send CCL,receive MK,receive PTN,send ANGPT,send CD52,send SELPLG,receive CLEC,receive SELPLG,send SELL,send COMPLEMENT,send SEMA4,receive CEACAM,send GRN,send IL16,receive CD52,receive GRN,send APP,send VISTA,receive NCAM,send NCAM,receive PARs,receive FN1,receive IGF,receive BAFF,receive SPP1,receive SEMA4,send TGFb,receive CD200,receive ITGAL-ITGB2,send ICAM,receive IFN-II,receive GALECTIN,receive CD22,send CD45,send BST2,receive PECAM1,send PECAM1
receive SELL,0.0,0.0,-0.2003396309998451,-0.231439899462974,-0.1936413474729243,0.2056787459947477,0.2198789103823877,0.1819922310658258,0.1636452076145775,0.0,0.22299405419456,0.0,0.2588020264331935,0.1870093250037054,0.1673982105794166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1673898777767647,-0.1596287805459526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1943438110955951,0.1571013144742726,0.1571013144742726
send CD34,0.0,0.0,-0.1974139467410604,-0.2371826503714695,-0.1918310251500729,0.2175045455401617,0.2201658276794262,0.178627051243239,0.1675097471964579,0.0,0.2324250491842296,0.0,0.2760781257990664,0.195678808814508,0.1716366025244228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1663509830390853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2066211976114955,0.1547746693150587,0.1547746693150587
send PARs,-0.2003396309998451,-0.1974139467410604,0.0,0.1900642094797406,0.2829547066968124,0.0,-0.2088378277099622,-0.1717853356867012,0.0,0.0,0.0,-0.2280372608413876,0.0,0.0,0.0,-0.2380329366282045,0.0,-0.1707744640422706,0.0,-0.173556426076249,-0.1546620000132521,0.1775840436302104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1750345532294406,-0.1750345532294406
receive VCAM,-0.231439899462974,-0.2371826503714695,0.1900642094797406,0.0,0.1753829647814476,0.0,-0.1608372364840891,-0.1608043589238273,0.0,0.0,-0.1660252302831241,0.0,-0.1651694802041225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1557349650824107,0.1829302851106456,0.0,0.0,0.0,0.0,0.0,0.1656435874866687,0.1668788005478833,0.1875244759237669,0.192133723107182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send ANNEXIN,-0.1936413474729243,-0.1918310251500729,0.2829547066968124,0.1753829647814476,0.0,0.0,-0.1834371673069413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1564894886258527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1569848021273093,0.1644412233968633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send MHC-I,0.2056787459947477,0.2175045455401617,0.0,0.0,0.0,0.0,0.3078572778319577,0.0,0.0,0.0,0.0,0.1840608336465614,0.0,0.2105221370728551,0.201446143285519,0.249194347596332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2010119922018452,0.1765006796225116,0.1595908230809632,0.1583302319026472,0.1572609408378746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send MHC-II,0.2198789103823877,0.2201658276794262,-0.2088378277099622,-0.1608372364840891,-0.1834371673069413,0.3078572778319577,0.0,0.0,0.1822912591409826,0.1744718156204209,0.0,0.0,0.0,0.0,0.0,0.2135387843047142,0.0,0.1673629882603373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1608949332459785,0.0,0.0,0.0,0.0,0.1761328875879046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1636254301055745,0.1636254301055745
receive CCL,0.1819922310658258,0.178627051243239,-0.1717853356867012,-0.1608043589238273,0.0,0.0,0.0,0.0,0.1985141291923898,0.2496383180697934,0.0,-0.1641855328513987,0.0,0.0,0.0,0.0,0.1967846068300307,0.234793529469553,0.2561604366812074,0.2244400997608654,0.2118684882438644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568434435696748,0.1568434435696748,0.1556438845822961,0.0,0.0
receive CSF,0.1636452076145775,0.1675097471964579,0.0,0.0,0.0,0.0,0.1822912591409826,0.1985141291923898,0.0,0.2628047217556472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571537028362479,0.1682798321118317,0.1855352020787775,0.1997308834797278,0.0,0.0,0.0,0.0,0.1871128363027887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send PSAP,0.0,0.0,0.0,0.0,0.0,0.0,0.1744718156204209,0.2496383180697934,0.2628047217556472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2456372952391818,0.2304130491503598,0.2313725648903941,0.2278520859168834,0.2170938443239622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157322259564332,0.0,0.0,0.0,0.0,0.0
send MIF,0.22299405419456,0.2324250491842296,0.0,-0.1660252302831241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642597306071327,0.260191576891534,0.2814476651925094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1753037200431698,0.0,0.0
send GALECTIN,0.0,0.0,-0.2280372608413876,0.0,0.0,0.1840608336465614,0.0,-0.1641855328513987,0.0,0.0,0.0,0.0,0.0,0.1571601047052222,0.1901743042953816,0.1892511924820057,-0.1634061648317009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1606943155135796,0.0,0.0,0.1632843865262627,0.0,0.0,0.0,0.0,0.0,0.0,0.1726289508820576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send CCL,0.2588020264331935,0.2760781257990664,0.0,-0.1651694802041225,0.0,0.0,0.0,0.0,0.0,0.0,0.1642597306071327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1570376047577074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1579303314144533,0.0,0.0,0.0,0.0,0.1572805383077187,0.1572805383077187
receive MK,0.1870093250037054,0.195678808814508,0.0,0.0,0.0,0.2105221370728551,0.0,0.0,0.0,0.0,0.260191576891534,0.1571601047052222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1554181422160907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive PTN,0.1673982105794166,0.1716366025244228,0.0,0.0,0.0,0.201446143285519,0.0,0.0,0.0,0.0,0.2814476651925094,0.1901743042953816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1639911318362272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1697550706245072,0.1710686877592714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send ANGPT,0.0,0.0,-0.2380329366282045,0.0,-0.1564894886258527,0.249194347596332,0.2135387843047142,0.0,0.0,0.0,0.0,0.1892511924820057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1552050935592695,0.1580599742060829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send CD52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1967846068300307,0.0,0.2456372952391818,0.0,-0.1634061648317009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794285534720135,0.1714442799278948,0.1582286968785466,0.0,0.0,0.0,0.0,0.0,0.0,0.2002596714591467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send SELPLG,0.0,0.0,-0.1707744640422706,0.0,0.0,0.0,0.1673629882603373,0.234793529469553,0.2571537028362479,0.2304130491503598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542525642944851,0.0,0.1794065314019138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1589967727011294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive CLEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2561604366812074,0.1682798321118317,0.2313725648903941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542525642944851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive SELPLG,0.0,0.0,-0.173556426076249,0.0,0.0,0.0,0.0,0.2244400997608654,0.1855352020787775,0.2278520859168834,0.0,0.0,0.0,0.0,0.0,0.0,0.1794285534720135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1638697722212609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send SELL,0.0,0.0,-0.1546620000132521,0.0,0.0,0.0,0.0,0.2118684882438644,0.1997308834797278,0.2170938443239622,0.0,0.0,0.0,0.0,0.0,0.0,0.1714442799278948,0.1794065314019138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1650390198198923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send COMPLEMENT,0.0,0.0,0.1775840436302104,0.1557349650824107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1554181422160907,-0.1639911318362272,0.0,0.1582286968785466,0.0,0.0,0.0,0.0,0.0,0.0,0.1862534427194019,0.0,0.0,0.1675317426269666,0.1734418223484734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send SEMA4,-0.1673898777767647,-0.1663509830390853,0.0,0.1829302851106456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2087087136614558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive CEACAM,-0.1596287805459526,0.0,0.0,0.0,0.1569848021273093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1570376047577074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1862534427194019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send GRN,0.0,0.0,0.0,0.0,0.1644412233968633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2087087136614558,0.0,0.0,0.0,0.1547157527856515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send IL16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1871128363027887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1638697722212609,0.1650390198198923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive CD52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1675317426269666,0.0,0.0,0.1547157527856515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive GRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1734418223484734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1763824321162951,0.0,0.0
send APP,0.0,0.0,0.0,0.1656435874866687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2002596714591467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send VISTA,0.0,0.0,0.0,0.1668788005478833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1606943155135796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive NCAM,0.0,0.0,0.0,0.1875244759237669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send NCAM,0.0,0.0,0.0,0.192133723107182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive PARs,0.0,0.0,0.0,0.0,0.0,0.2010119922018452,0.0,0.0,0.0,0.0,0.0,0.1632843865262627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive FN1,0.0,0.0,0.0,0.0,0.0,0.1765006796225116,0.1608949332459785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive IGF,0.0,0.0,0.0,0.0,0.0,0.1595908230809632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1589967727011294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive BAFF,0.0,0.0,0.0,0.0,0.0,0.1583302319026472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive SPP1,0.0,0.0,0.0,0.0,0.0,0.1572609408378746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive SEMA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1552050935592695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send TGFb,0.0,0.0,0.0,0.0,0.0,0.0,0.1761328875879046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1580599742060829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive CD200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1726289508820576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive ITGAL-ITGB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1697550706245072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send ICAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1710686877592714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive IFN-II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1579303314144533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive GALECTIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157322259564332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive CD22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568434435696748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send CD45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568434435696748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send BST2,0.1943438110955951,0.2066211976114955,0.0,0.0,0.0,0.0,0.0,0.1556438845822961,0.0,0.0,0.1753037200431698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1763824321162951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive PECAM1,0.1571013144742726,0.1547746693150587,-0.1750345532294406,0.0,0.0,0.0,0.1636254301055745,0.0,0.0,0.0,0.0,0.0,0.1572805383077187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send PECAM1,0.1571013144742726,0.1547746693150587,-0.1750345532294406,0.0,0.0,0.0,0.1636254301055745,0.0,0.0,0.0,0.0,0.0,0.1572805383077187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
