,Pathway,Direction,max(LR) scale factor,max(L)max(R) scale factor
60,TWEAK,sending,0.03818293062471706,0.03818293062471706
335,JAM,receiving,0.045745671118153,0.045745671118153
11,VISFATIN,receiving,0.058424626527840647,0.058424626527840647
157,NRG,receiving,0.06380771842462651,0.06380771842462651
404,CD39,sending,0.06558963331824354,0.06558963331824354
165,TGFb,receiving,0.06830720914440921,0.06830720914440921
119,PERIOSTIN,receiving,0.06871887732005431,0.06871887732005431
405,CD39,receiving,0.07127659574468084,0.07127659574468084
8,GAS,sending,0.08104133657763689,0.08104133657763689
214,FGF,sending,0.09294363965595288,0.09294363965595288
113,ANGPTL,receiving,0.09297900633770938,0.09297900633770938
138,PROS,sending,0.09570224083295607,0.09570224083295607
399,CD96,receiving,0.1084964916251697,0.1084964916251697
163,ANGPT,receiving,0.1106957333635129,0.1106957333635129
265,FLT3,receiving,0.1173537234042553,0.1173537234042553
264,FLT3,sending,0.1173537234042553,0.1173537234042553
398,CD96,sending,0.11896785875961967,0.11896785875961967
334,JAM,sending,0.1201979119511091,0.17908386147578087
311,SEMA7,receiving,0.12442281575373473,0.12442281575373473
61,TWEAK,receiving,0.1347187641466727,0.1347187641466727
368,VCAM,sending,0.1382978723404255,0.1382978723404255
222,VEGF,sending,0.14069148936170212,0.14069148936170212
422,SEMA4,sending,0.14285310095065637,0.14285310095065637
192,GRN,sending,0.15780698279764596,0.15780698279764596
221,TNF,receiving,0.163075769578995,0.163075769578995
13,ADIPONECTIN,receiving,0.16409574468085109,0.16409574468085109
155,SPP1,receiving,0.1680624717066546,0.1680624717066546
385,EPHB,receiving,0.17114644635581708,0.17114644635581708
16,CSF,sending,0.17310222385694876,0.17310222385694876
10,VISFATIN,sending,0.17331824354911723,0.17331824354911723
201,IL4,receiving,0.1891014033499321,0.1891014033499321
341,SEMA5,receiving,0.19567677682209136,0.19567677682209136
394,SEMA6,sending,0.20111970914440921,0.20111970914440921
353,CEACAM,receiving,0.22132469443186958,0.22132469443186958
65,WNT,receiving,0.22708521955636038,0.22708521955636038
215,FGF,receiving,0.22821766070620195,0.22821766070620195
276,IL1,sending,0.22926097781801716,0.22926097781801716
223,VEGF,receiving,0.24120076957899503,0.24120076957899503
421,NKG2D,receiving,0.24190810321412398,0.24190810321412398
154,SPP1,sending,0.24291251697600724,0.24291251697600724
89,LIGHT,receiving,0.24313278066998645,0.24313278066998645
88,LIGHT,sending,0.24313278066998645,0.24313278066998645
176,CXCL,sending,0.25349847215934806,0.25349847215934806
309,THY1,receiving,0.26121618945224084,0.26121618945224084
355,NCAM,receiving,0.2639185576052513,0.2639185576052513
384,EPHB,sending,0.2668769805341784,0.2668769805341784
366,EPHA,sending,0.2722965708465369,0.2722965708465369
220,TNF,sending,0.2755418175645088,0.2755418175645088
112,ANGPTL,sending,0.27908400294250796,0.27908400294250796
407,CD23,receiving,0.28082701448619285,0.28082701448619285
56,LIFR,sending,0.288031914893617,0.288031914893617
420,NKG2D,sending,0.29866455409687637,0.29866455409687637
380,APP,sending,0.3085106382978723,0.3085106382978723
5,COMPLEMENT,receiving,0.3205239927569036,0.3205239927569036
15,IL2,receiving,0.33633714350384786,0.33633714350384786
381,APP,receiving,0.34043260525124497,0.34043260525124497
277,IL1,receiving,0.3418967858759619,0.3418967858759619
369,VCAM,receiving,0.35648200543232234,0.35648200543232234
14,IL2,sending,0.3643899954730647,0.3643899954730647
423,SEMA4,receiving,0.36639882299683113,0.36639882299683113
318,CD22,sending,0.3736065527387958,0.3736065527387958
304,ITGAL-ITGB2,sending,0.37562238286555,0.37562238286555
189,GALECTIN,receiving,0.3778859212313263,0.3778859212313263
367,EPHA,receiving,0.38393362381167945,0.38393362381167945
258,HGF,sending,0.3888411045722046,0.3888411045722046
259,HGF,receiving,0.3888411045722046,0.3888411045722046
308,THY1,sending,0.4007257243096423,0.4007257243096423
301,CD45,receiving,0.4064339067451336,0.4064339067451336
354,NCAM,sending,0.4091164695563604,0.4125328910140336
139,PROS,receiving,0.4154877772747849,0.4154877772747849
156,NRG,sending,0.42239701222272524,0.42239701222272524
317,SELE,receiving,0.43111702127659574,0.43111702127659574
339,SELPLG,receiving,0.43138510072430963,0.43138510072430963
9,GAS,receiving,0.4388297872340425,0.4388297872340425
343,ICAM,receiving,0.44176324128564964,0.44176324128564964
193,GRN,receiving,0.44301295835219556,0.44301295835219556
382,NRXN,sending,0.44308510638297877,0.44308510638297877
319,CD22,receiving,0.45930709597102765,0.45930709597102765
300,CD45,sending,0.45930709597102765,0.45930709597102765
145,IGF,receiving,0.46563490267089186,0.46563490267089186
342,ICAM,sending,0.4763807152557719,0.4763807152557719
395,SEMA6,receiving,0.4905358759619738,0.4905358759619738
200,IL4,sending,0.49117247623358995,0.49117247623358995
383,NRXN,receiving,0.4978871944318696,0.4978871944318696
52,IL16,sending,0.4990946129470348,0.4990946129470348
4,COMPLEMENT,sending,0.5047815753734722,0.5047815753734722
338,SELPLG,sending,0.5110626980534179,0.5110626980534179
291,ESAM,receiving,0.533799230421005,0.533799230421005
290,ESAM,sending,0.533799230421005,0.533799230421005
364,CD86,sending,0.5393277501131734,0.5393277501131734
362,CD52,sending,0.5402826505205975,0.5402826505205975
295,CD200,receiving,0.5571879244001812,0.5571879244001812
188,GALECTIN,sending,0.5633912403802626,0.5633912403802626
305,ITGAL-ITGB2,receiving,0.5756266976007244,0.5756266976007244
274,OSM,sending,0.5845744680851065,0.5845744680851065
329,MHC-I,receiving,0.6170212765957447,0.6170212765957447
177,CXCL,receiving,0.6204787234042554,0.6204787234042554
133,MIF,receiving,0.6566814735174287,0.6566814735174287
348,SELL,sending,0.6626075147125395,0.6626075147125395
298,PECAM1,sending,0.6656858306926211,0.6656858306926211
299,PECAM1,receiving,0.6656858306926211,0.6656858306926211
234,CCL,sending,0.6790402897238569,0.6790402897238569
410,MHC-II,sending,0.6797193300135808,0.6797193300135808
235,CCL,receiving,0.7183397464916252,0.7183397464916252
324,LCK,sending,0.7202707673155275,0.7202707673155275
164,TGFb,sending,0.7294378112267994,0.7294378112267994
162,ANGPT,sending,0.7351353836577637,0.7351353836577637
17,CSF,receiving,0.7559628225441376,0.7559628225441376
71,PDGF,receiving,0.7685958012675418,0.7685958012675418
350,CD34,sending,0.7703117926663647,0.7703117926663647
245,IL7,receiving,0.7856920552286102,0.7856920552286102
351,CD34,receiving,0.7988229968311452,0.7988229968311452
137,PARs,receiving,0.8173381620642826,0.8173381620642826
349,SELL,receiving,0.82045043005885,0.82045043005885
328,MHC-I,sending,0.8627419081032142,0.8627419081032142
363,CD52,receiving,0.8726728723404255,0.8726728723404255
63,KIT,receiving,0.8829787234042553,0.8829787234042553
136,PARs,sending,0.8842847442281575,0.8842847442281575
39,MK,receiving,0.981425418741512,0.981425418741512
132,MIF,sending,0.9954787234042553,0.9954787234042553
