Pathway 1,receive APP,send MHC-I,send MHC-II,send MIF,receive ANGPTL,receive IFN-II,send SEMA4,send APP,send VISTA,receive VCAM,send ANNEXIN,receive CEACAM,receive CD52,send NCAM,receive PARs,receive JAM,send JAM,send ANGPT,receive ESAM,send ESAM,receive CSF,receive SELPLG,send SELPLG,receive MIF,receive SELL,send CD34,send GALECTIN,receive MK,receive PTN,send GRN,send LAIR1,send TGFb,receive CXCL,receive SPP1,receive COLLAGEN,receive FN1,send CXCL,send VISFATIN,send BST2,receive TENASCIN,receive VTN,receive GRN,send IL2,send ANGPTL,receive GALECTIN,receive PECAM1,send PECAM1,receive SELE,receive ICAM,receive LAMININ,receive ADIPONECTIN,send LAMININ,send PDGF,receive CD34,send EPHA,send COLLAGEN,receive SEMA7,send PSAP,send ICAM,receive ITGAL-ITGB2,receive KIT,send LIFR,receive SEMA4,receive ncWNT,receive MPZ,send MPZ,receive NCAM,receive HSPG,receive CD22,send CD45,send IL16,send VCAM,receive TWEAK,send VEGF,send CD52,send COMPLEMENT,send PARs,send SELL,receive CCL,send CCL
receive APP,0.0,0.4398793125584694,0.5811282166236835,-0.239648096977777,0.1698606132955742,-0.1786314629943263,-0.1550078226822003,0.0,-0.2252625836256694,-0.1760329935999484,-0.1847672446552914,0.0,-0.1750220473460736,-0.1483714078723264,0.0,0.2625496590131032,0.268157601632127,0.2033629989758484,0.2338506550793827,0.2338506550793827,0.0,0.142276959921853,0.149967100796617,0.2603576661762613,0.0,0.0,-0.1454859204076054,0.0,0.0,0.0,0.0,-0.2488626513189836,-0.1539593652609474,-0.2418753323102983,-0.1435761706535113,-0.1448723540418396,0.0,0.0,0.1404376820614331,0.1788705326430624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1619377533654122,-0.1433187891381914,-0.1570166701422526,0.0,0.0,0.1415039556938711,0.1626106339288995,0.1623870432060292,0.1645990071721614,0.0,0.0,0.1567469389352543,0.0,0.0,0.0,0.0,0.1386599708195877,0.1436641519825768,0.1441397164805344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2635760875230901,-0.2306733555186504,-0.3413314259484084,-0.2354831941417372,-0.1693820053101354,-0.2351491980559391
send MHC-I,0.4398793125584694,0.0,0.558092880551691,-0.2029395218366943,-0.1589934303828644,-0.220019496160659,-0.2412147301976721,-0.2350155016398576,-0.3107279928027456,-0.2642401065544961,-0.2667046808728334,-0.168199421175231,-0.2016257409224146,-0.1771287767946198,0.2630019276482969,0.1957813022519073,0.2356233221351443,0.3671591307977852,0.3732985535631823,0.3732985535631823,-0.2291992158081319,-0.1533116845743356,-0.1531919539683614,0.0,0.1558378211796467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.171449587198579,-0.1779722443729078,0.0,0.0,0.1699846419078769,-0.1573593346770873,0.1655183584504232,0.1461066951219319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1472976194363438,0.1620973277789359,0.1493472241163156,0.0,0.139380591456117,0.0,0.0,0.0,0.0,0.1774541588643925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4322651008669674,-0.323587470486204,-0.447265154698766,-0.3003204217800481,-0.3038769285100756,-0.3138928641140428
send MHC-II,0.5811282166236835,0.558092880551691,0.0,0.0,-0.1420751753917153,-0.1590430180921327,-0.1867456742358481,-0.1706938946448366,-0.3176241698215252,-0.2417782044651001,-0.2556095643147965,-0.1869626364334086,-0.2057387092129247,-0.1934282408999232,0.0,0.2539210930626111,0.275803436475632,0.3063225396915717,0.3223231663674775,0.3223231663674775,0.0,0.0,0.0,0.1688490359669527,0.1484333665956037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1885937318713625,0.0,0.0,0.0,-0.1392081793493843,0.1951479715036774,0.1615228822611218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1444808792881008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3008423877034517,-0.3364411147460708,-0.3475798883437643,-0.1988536190605182,0.0,-0.2484060541218111
send MIF,-0.239648096977777,-0.2029395218366943,0.0,0.0,-0.164899838559693,0.1946224359155921,0.0,0.0,0.0,0.0,0.0,-0.1624743285087344,0.0,0.0,0.0,-0.2146466414587439,-0.1901752272989864,0.0,-0.2014838078236168,-0.2014838078236168,0.1938270035219407,0.0,0.0,0.0,0.2167963812945464,0.2760598004645742,0.1695899824027221,0.2745245022945122,0.2973479771984703,0.0,0.0,0.1824995322263555,0.156178769800006,0.0,0.0,0.0,0.0,0.0,0.1510376698581898,0.0,0.0,0.0,0.0,0.1698343432373978,0.0,0.1577395830431918,0.1577395830431918,0.0,0.0,0.0,-0.1648106814112848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3522039471109213,0.2080556316050187,0.1924435287930565,0.2173040791705505
receive ANGPTL,0.1698606132955742,-0.1589934303828644,-0.1420751753917153,-0.164899838559693,0.0,0.0,0.1582260486902602,0.1652904921704251,0.2584447290747113,0.1931227588762038,0.2690315839610949,0.2879447430175457,0.0,0.1828521400938787,0.0,0.1487535950232848,0.1494045273445314,0.0,0.1477863051619584,0.1477863051619584,0.0,0.0,0.0,0.1903187069333093,-0.1493685786877626,0.0,-0.1434068204209133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3119470121280373,0.2510963734859703,0.0,0.0,0.0,0.0
receive IFN-II,-0.1786314629943263,-0.220019496160659,-0.1590430180921327,0.1946224359155921,0.0,0.0,-0.1533116845743356,0.2420685004765672,0.2417590493210781,0.0,0.0,0.0,0.0,0.1909905064929285,0.0,0.0,0.0,-0.1905617700813504,0.0,0.0,0.1547724900072415,0.1660187811122164,0.0,0.0,0.0,0.1439573153057226,0.0,0.0,0.0,0.1408155579979488,0.1493378659588826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190760993709419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2487599535152363,0.1586394814098135,0.3630241512597629,0.2490305803371788,0.2382177849504409,0.3228679476667764
send SEMA4,-0.1550078226822003,-0.2412147301976721,-0.1867456742358481,0.0,0.1582260486902602,-0.1533116845743356,0.0,0.2369250616516734,0.2151191484841062,0.2213046170224943,0.1774084118612472,0.1863354946647935,0.1757850357880405,0.1445504306847028,-0.1468300196179385,0.0,0.0,-0.1992473172515147,0.0,0.0,0.152249227223078,0.1795510041074446,0.1569106282281042,0.0,0.0,0.0,0.0,0.0,0.0,0.1530020511487176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1941670724856812,0.2002126984264665,0.2131737634454503,0.2476725845019287,0.1550836848798991,0.1704315696687707
send APP,0.0,-0.2350155016398576,-0.1706938946448366,0.0,0.1652904921704251,0.2420685004765672,0.2369250616516734,0.0,0.2264291870039955,0.1957451028305485,0.2752439602853977,0.0,0.1581963311118408,0.1384342616986905,-0.1528418393012627,0.0,0.0,0.0,0.0,0.0,0.172163721630997,0.0,0.0,0.0,0.0,0.0,-0.1537309063680806,0.0,0.0,0.1980987014793884,0.0,0.0,0.1575684518140754,0.1477911765103775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3247268641158105,0.2963946112452953,0.2839753935596239,0.1682033261387446,0.1871395900235269,0.2020287731902116
send VISTA,-0.2252625836256694,-0.3107279928027456,-0.3176241698215252,0.0,0.2584447290747113,0.2417590493210781,0.2151191484841062,0.2264291870039955,0.0,0.2299449320706215,0.3353797946228201,0.1554027277300718,0.1595300772161875,0.213061775218951,-0.1550857809046187,0.0,0.0,-0.2072837914033601,-0.1617779505481019,-0.1617779505481019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1488016262996866,0.1627138207438349,0.0,0.0,0.0,0.1517005205943659,-0.1899084795363787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1422245877943476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3588292802223723,0.3723213129019442,0.2967108298209378,0.2232676175762794,0.2005354456290135,0.2361954515595071
receive VCAM,-0.1760329935999484,-0.2642401065544961,-0.2417782044651001,0.0,0.1931227588762038,0.0,0.2213046170224943,0.1957451028305485,0.2299449320706215,0.0,0.2948665161828603,0.280237477070093,0.2024676504004186,0.0,-0.1608466994869847,0.0,0.0,-0.1757348110382402,-0.1463148686786242,-0.1463148686786242,0.0,0.0,0.0,0.0,-0.1431653202533045,0.0,-0.1455342999527237,-0.1604287504029375,-0.1808749812506427,0.0,0.1769235335226496,0.0,0.1512703461998203,0.0,0.0,0.0,0.0,0.0,-0.1652689549038528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2940316662690289,0.500895684626698,0.2508561219840727,0.2118151996788457,0.0,0.0
send ANNEXIN,-0.1847672446552914,-0.2667046808728334,-0.2556095643147965,0.0,0.2690315839610949,0.0,0.1774084118612472,0.2752439602853977,0.3353797946228201,0.2948665161828603,0.0,0.2621585681132273,0.1977433518039981,0.1918304598756188,-0.1900540678824938,0.0,0.0,-0.1475787295582239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2171170353395429,-0.2052291061848853,0.1964217881740233,0.2240284670772762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375544163192051,0.4537738944181624,0.2744191578101141,0.1849407020339416,0.0,0.0
receive CEACAM,0.0,-0.168199421175231,-0.1869626364334086,-0.1624743285087344,0.2879447430175457,0.0,0.1863354946647935,0.0,0.1554027277300718,0.280237477070093,0.2621585681132273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.190812171595273,-0.20850922293395,0.1689952937467615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1871760573493687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2551266577337751,0.3346128374432693,0.0,0.0,0.0,0.0
receive CD52,-0.1750220473460736,-0.2016257409224146,-0.2057387092129247,0.0,0.0,0.0,0.1757850357880405,0.1581963311118408,0.1595300772161875,0.2024676504004186,0.1977433518039981,0.0,0.0,0.0,0.0,0.0,0.0,-0.1723859864606717,-0.1452946126619537,-0.1452946126619537,0.0,0.0,0.0,0.0,-0.1444643407187978,0.0,0.0,0.0,0.0,0.0,0.1983116446071379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2205198430774922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2612227929554113,0.2610101218801078,0.1553506643150508,0.0,0.1874671700542723
send NCAM,-0.1483714078723264,-0.1771287767946198,-0.1934282408999232,0.0,0.1828521400938787,0.1909905064929285,0.1445504306847028,0.1384342616986905,0.213061775218951,0.0,0.1918304598756188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1864624033816193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.280137588088467,0.3699041022738215,0.2130942748583366,0.154814335070358,0.0,0.0
receive PARs,0.0,0.2630019276482969,0.0,0.0,0.0,0.0,-0.1468300196179385,-0.1528418393012627,-0.1550857809046187,-0.1608466994869847,-0.1900540678824938,0.0,0.0,0.0,0.0,0.0,0.0,0.2049506057924372,0.151976590395066,0.151976590395066,0.0,0.0,0.0,0.0,0.0,0.0,0.1550560984468782,0.0,0.0,0.0,0.0,0.1527466839427727,0.0,0.0,0.0,0.0,0.2258410252118835,0.0,0.0,0.1565600503599455,0.1598118267839851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1483353483101517,0.0,0.1484282191696448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2584615416674737,-0.1871780780399858,0.0,-0.1986814934841957,-0.1854064649575252,-0.2105497922324799
receive JAM,0.2625496590131032,0.1957813022519073,0.2539210930626111,-0.2146466414587439,0.1487535950232848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2115408010101465,0.2115408010101465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1429152065340437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1421637308506417,0.1449100877237278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1393769306913265,0.1490388005594498,0.1490388005594498,0.0,0.0,0.0,0.0,0.0,0.0,-0.174468325665581,-0.1490520188452318,0.0,0.0
send JAM,0.268157601632127,0.2356233221351443,0.275803436475632,-0.1901752272989864,0.1494045273445314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2272487484694933,0.2272487484694933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1435471295977342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1547813323831699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1455133775527413,0.0,-0.2006677396244144,-0.1535757804409807,0.0,-0.1395467069412912
send ANGPT,0.2033629989758484,0.3671591307977852,0.3063225396915717,0.0,0.0,-0.1905617700813504,-0.1992473172515147,0.0,-0.2072837914033601,-0.1757348110382402,-0.1475787295582239,0.0,-0.1723859864606717,0.0,0.2049506057924372,0.0,0.0,0.0,0.221332445669115,0.221332445669115,0.0,0.0,0.0,0.0,0.1577100876510185,0.0,0.0,0.0,0.0,0.0,-0.1428106452251965,0.0,0.0,0.0,0.0,0.0,0.2104558097278972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1414478927785277,0.0,0.0,0.0,0.0,0.0,0.0,0.1446570816088533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2705914954926823,-0.2259009410182729,-0.3276405983222016,-0.2082286297769475,-0.2000709644496491,-0.2623086004398353
receive ESAM,0.2338506550793827,0.3732985535631823,0.3223231663674775,-0.2014838078236168,0.1477863051619584,0.0,0.0,0.0,-0.1617779505481019,-0.1463148686786242,0.0,0.0,-0.1452946126619537,0.0,0.151976590395066,0.2115408010101465,0.2272487484694933,0.221332445669115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1579084340327319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1515554014181133,0.1961748042770568,0.1410668261244112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2550403462384015,-0.1453699731449828,-0.3045167850797873,-0.1964738759070857,-0.1697437068848749,-0.209666903146017
