Pathway 1,receive MK,receive PTN,send MIF,receive CD39,receive IFN-II,send VEGF,send VCAM,send ANGPTL,receive JAM,receive PDGF,receive ANGPTL,receive VISFATIN,send VISFATIN,receive COLLAGEN,receive SPP1,send GALECTIN,receive SEMA7,receive LAMININ,receive GRN,receive HSPG,receive ncWNT,receive ITGAL-ITGB2,send ICAM,receive ADIPONECTIN,receive THBS,receive PARs,send FGF,receive ESAM,send ESAM,send CXCL,send TGFb,receive CD34,receive BAFF,send SELPLG,send IL16,receive GALECTIN,receive CD22,send CD45,receive SEMA4,send ANNEXIN,receive PECAM1,send PECAM1,send GRN,send PSAP,receive SELL,send CD34,send ANGPT,send MHC-I,send MHC-II,receive SELPLG,send SELL,send PARs,send CCL,send CD52
receive CD34,0.0,-0.1607313825439803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1597421656637229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148623734105857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1764148937915656,0.0,0.0,0.1548687945811476,0.1502082031153797,0.1899077806703389,0.1484240319921737,0.0,0.0,0.1802079101660235,0.0,0.2080714914774605,0.2080714914774605,0.1476709582403993,0.0,0.2229673820528367,0.0,0.1654444569909957,0.1799651864186672,0.1932944170759878,0.0,0.1726013174518395,0.2649957063016739,0.1754948473585538,0.2162487888469998
receive BAFF,-0.1466358976955503,-0.2302790833611594,0.0,0.1643505715219342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1565715549322854,0.1517502533105215,0.0,0.0,0.1668331401598839,0.1468156871760486,0.0,0.0,0.0,0.0,0.1548687945811476,0.0,0.0,0.0,0.1596786640216513,0.0,0.0,0.0,0.0,0.1455313182642432,0.1455313182642432,0.157430190723978,0.1642539638666138,0.2143234738580264,0.2241345811182933,0.1953604839044236,0.1709428074931536,0.1921836343457552,0.1836551828679828,0.1714638499497874,0.1945125974635929,0.1716242491920561,0.1692343860436948
send SELPLG,-0.1848949254144796,-0.1832430441790931,0.0,0.0,-0.1484568401430503,-0.1458256464650669,0.0,-0.1439751858282353,0.0,0.1551766346319063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168404780383465,0.0,0.0,0.0,0.1674426775493967,0.1502082031153797,0.0,0.0,0.1527078166148457,0.171723056487463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1713549578996067,0.2034715940062977,0.2068876357420305,0.1636388040291754,0.1560456403511471,0.1799964564034533,0.0,0.1649292221362733,0.1772445648627066,0.1481324912905727,0.1686818718885054
send IL16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1899077806703389,0.0,0.1527078166148457,0.0,0.0,0.0,0.0,0.2003109000225135,0.2096664019327017,0.1643443247449862,0.1643443247449862,0.0,0.0,0.2946274347953473,0.304577011453391,0.0,0.2310595700927688,0.2028561550803313,0.2228767459572376,0.1812088001595882,0.1623438795976476,0.0,0.0
receive GALECTIN,-0.1773493449270307,-0.1724111640081944,0.0,0.1576589893588134,0.0,0.0,-0.1485011075147347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1483969695681513,0.0,0.0,0.0,0.1441169717023743,0.1441169717023743,0.0,0.1606315871987123,0.1484240319921737,0.1596786640216513,0.171723056487463,0.0,0.0,0.0,0.0,0.0,0.1511560895961558,0.0,0.0,0.0,0.0,0.2223266866963602,0.2263634522453385,0.156390342672627,0.1596710624721376,0.1737765320439884,0.213072443982401,0.223826622748976,0.1795038422494041,0.1906885320103339,0.203536714022122
receive CD22,0.0,0.0,0.0,0.1684656666284416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2220380945705279,0.2315511957021644,0.0,0.0,0.0,0.1965864961378796,0.2312039657052607,0.1723571065158158,0.1986674781895591,0.1920801788151681
send CD45,0.0,0.0,0.0,0.1684656666284416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2220380945705279,0.2315511957021644,0.0,0.0,0.0,0.1965864961378795,0.2312039657052607,0.1723571065158158,0.1986674781895591,0.1920801788151681
receive SEMA4,-0.1503967468502434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1802079101660235,0.0,0.0,0.2003109000225135,0.0,0.0,0.0,0.0,0.0,0.1456661530382257,0.1456661530382257,0.0,0.0,0.2570122317954244,0.2734894244928353,0.0,0.1502803398084267,0.1854014966225377,0.2140153115588096,0.0,0.2520969735090252,0.1883062500752892,0.2383629482274064
send ANNEXIN,0.0,-0.1555998302295941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2096664019327017,0.1511560895961558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2650672160077865,0.2775339679278518,0.0,0.1842963548873966,0.2459720583676978,0.2199931619374278,0.2234770793687533,0.1579497264977288,0.1844348011534502,0.1584994464716727
receive PECAM1,-0.1472630250669093,-0.1883430224223465,-0.1623480734425296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1598211305296862,0.0,0.0,0.0,0.0,0.2080714914774605,0.1455313182642432,0.0,0.1643443247449862,0.0,0.0,0.0,0.1456661530382257,0.0,0.0,0.0,0.0,0.0,0.1769594833356444,0.1773630141273081,0.1690204782383829,0.1556383773890149,0.1552008341910575,0.2268875952025271,0.1835847229714835,0.1988146002608803,0.1709062452531879,0.1446773068656434
send PECAM1,-0.1472630250669093,-0.1957029907483078,-0.1623480734425296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1598211305296862,0.0,0.0,0.0,0.0,0.2080714914774605,0.1455313182642432,0.0,0.1643443247449862,0.0,0.0,0.0,0.1456661530382257,0.0,0.0,0.0,0.0,0.0,0.1769594833356444,0.1773630141273081,0.1690204782383829,0.1556383773890149,0.1552008341910575,0.226887595202527,0.1835847229714835,0.1993776824363733,0.1709062452531879,0.1446773068656434
send GRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1476709582403993,0.157430190723978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1706043786548543,0.236864815253025,0.2585551466800141,0.2001400436476239,0.1621298835609668,0.1980611703472403,0.1824739723234863,0.1640735648841562,0.1823564781881726,0.0,0.0
send PSAP,-0.155578339037153,-0.1464367341416176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642539638666138,0.1713549578996067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1706043786548543,0.0,0.227045410619226,0.2358137241058994,0.1566451151494632,0.1693968545635829,0.2552850528819005,0.1452255807875239,0.1653602049049871,0.0,0.0,0.0
receive SELL,-0.2543255590472955,-0.2960461437027079,0.0,0.1592445371069693,0.0,-0.1879852708478206,-0.1565079410294979,0.0,0.1594722064000432,0.175351339144518,0.0,0.0,0.0,0.0,0.0,-0.1470068925753291,-0.1559810237487633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1544593205429248,0.1877006121358218,0.174480176475112,0.174480176475112,0.0,0.0,0.2229673820528367,0.2143234738580264,0.2034715940062977,0.2946274347953473,0.2223266866963602,0.2220380945705279,0.2220380945705279,0.2570122317954244,0.2650672160077865,0.1769594833356444,0.1769594833356444,0.236864815253025,0.227045410619226,0.0,0.0,0.2678428394463749,0.2774735495982501,0.4152942402160512,0.4151348174834148,0.0,0.4567890965839073,0.367643525685245,0.3494596103425378
send CD34,-0.2701189176533732,-0.3284237738089703,0.0,0.1596691561035797,0.0,-0.2045506806080934,-0.1481205896425542,0.0,0.1617645727616178,0.1866149753244504,0.0,0.0,0.0,0.0,0.0,0.0,-0.1436182662054084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1869023792914688,0.1851280352685442,0.1851280352685442,0.0,0.0,0.0,0.2241345811182933,0.2068876357420305,0.304577011453391,0.2263634522453385,0.2315511957021644,0.2315511957021644,0.2734894244928353,0.2775339679278518,0.1773630141273081,0.1773630141273081,0.2585551466800141,0.2358137241058994,0.0,0.0,0.2929620102407705,0.3066461397266226,0.4635159226465274,0.445675556102337,0.487772485611436,0.4921048351649968,0.3840252681298558,0.3850447642343808
send ANGPT,-0.2488118387108444,-0.3117711473000059,0.0,0.1753148829902627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1600871624182145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2357094317266412,0.2080107365008181,0.0,0.0,0.1734985932142595,0.2453721457385052,0.1654444569909957,0.1953604839044236,0.1636388040291754,0.0,0.156390342672627,0.0,0.0,0.0,0.0,0.1690204782383829,0.1690204782383829,0.2001400436476239,0.1566451151494632,0.2678428394463749,0.2929620102407705,0.0,0.281891214002882,0.2993132806511893,0.175975102823171,0.0,0.0,0.0,0.2011488401763475
send MHC-I,-0.2925813095533245,-0.3709484330840114,-0.2476776749734727,0.0,-0.1567730003878524,-0.2467684125670871,0.0,-0.167107312318776,0.0,0.0,-0.1594234891543973,-0.1838224137668707,-0.1530753670452636,0.0,-0.1446311516725985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2154536891350876,0.2042693883856061,0.236413918656285,0.236413918656285,0.1868192067444056,0.2829845770783269,0.1799651864186672,0.1709428074931536,0.1560456403511471,0.2310595700927688,0.1596710624721376,0.0,0.0,0.1502803398084267,0.1842963548873966,0.1556383773890149,0.1556383773890149,0.1621298835609668,0.1693968545635829,0.2774735495982501,0.3066461397266226,0.281891214002882,0.0,0.4050073369744837,0.2065529783923742,0.1466293650529514,0.0,0.1507839742545284,0.1720927220010136
send MHC-II,-0.2890900470213896,-0.3509120799306724,-0.1733922828796514,0.0,-0.1838522100137047,-0.190093953317944,0.0,0.0,0.1627207481163236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1787653586325394,0.2190683088811492,0.1868958726242074,0.1868958726242074,0.0,0.1955314970946904,0.1932944170759878,0.1921836343457552,0.1799964564034533,0.2028561550803313,0.1737765320439884,0.0,0.0,0.1854014966225377,0.2459720583676978,0.1552008341910575,0.1552008341910575,0.1980611703472403,0.2552850528819005,0.4152942402160512,0.4635159226465274,0.2993132806511893,0.4050073369744837,0.0,0.2694707481678797,0.235777820527117,0.201741668624946,0.2023722380480919,0.2673215282795941
receive SELPLG,-0.204414338807384,-0.2445828444815196,0.0,0.1520750713198535,0.0,0.0,-0.1580308742611264,0.0,0.0,0.1784355181064059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509059588563721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1574019733874198,0.1574019733874198,0.1616228819025476,0.0,0.0,0.1836551828679828,0.0,0.2228767459572376,0.213072443982401,0.1965864961378796,0.1965864961378795,0.2140153115588096,0.2199931619374278,0.2268875952025271,0.226887595202527,0.1824739723234863,0.1452255807875239,0.4151348174834148,0.445675556102337,0.175975102823171,0.2065529783923742,0.2694707481678797,0.0,0.0,0.4254511740330022,0.3625683434290077,0.3404146948037728
send SELL,-0.1845447581554613,-0.2304421524996138,0.0,0.1581610669684053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1726013174518395,0.1714638499497874,0.1649292221362733,0.1812088001595882,0.223826622748976,0.2312039657052607,0.2312039657052607,0.0,0.2234770793687533,0.1835847229714835,0.1835847229714835,0.1640735648841562,0.1653602049049871,0.0,0.487772485611436,0.0,0.1466293650529514,0.235777820527117,0.0,0.0,0.4953632891087309,0.4612433067794653,0.3646815401754156
send PARs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1604253339711108,0.0,0.0,0.0,0.0,0.0,0.0,-0.1471789960019964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649957063016739,0.1945125974635929,0.1772445648627066,0.1623438795976476,0.1795038422494041,0.1723571065158158,0.1723571065158158,0.2520969735090252,0.1579497264977288,0.1988146002608803,0.1993776824363733,0.1823564781881726,0.0,0.4567890965839073,0.4921048351649968,0.0,0.0,0.201741668624946,0.4254511740330022,0.4953632891087309,0.0,0.5357774861483912,0.4391076669538983
send CCL,-0.1756985522151378,-0.175336608587556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1754948473585538,0.1716242491920561,0.1481324912905727,0.0,0.1906885320103339,0.1986674781895591,0.1986674781895591,0.1883062500752892,0.1844348011534502,0.1709062452531879,0.1709062452531879,0.0,0.0,0.367643525685245,0.3840252681298558,0.0,0.1507839742545284,0.2023722380480919,0.3625683434290077,0.4612433067794653,0.5357774861483912,0.0,0.3035453977744996
send CD52,-0.1645477669655006,-0.1787027790637703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162487888469998,0.1692343860436948,0.1686818718885054,0.0,0.203536714022122,0.1920801788151681,0.1920801788151681,0.2383629482274064,0.1584994464716727,0.1446773068656434,0.1446773068656434,0.0,0.0,0.3494596103425378,0.3850447642343808,0.2011488401763475,0.1720927220010136,0.2673215282795941,0.3404146948037728,0.3646815401754156,0.4391076669538983,0.3035453977744996,0.0
